index,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2025-12-19,2827.410400390625,3014.6123046875,2811.3916015625,2977.970703125,27870687989,0.0,0.0,ETH-USD
2025-12-20,2977.869140625,2992.31005859375,2967.838623046875,2977.58251953125,7612418215,0.0,0.0,ETH-USD
2025-12-21,2977.508544921875,3009.80712890625,2945.394775390625,3001.61376953125,11178096676,0.0,0.0,ETH-USD
2025-12-22,3001.61279296875,3073.353759765625,2965.175048828125,3006.07373046875,20342034264,0.0,0.0,ETH-USD
2025-12-23,3006.073974609375,3033.1962890625,2902.3330078125,2963.3740234375,21453213168,0.0,0.0,ETH-USD
2025-12-24,2962.922607421875,2975.171142578125,2888.988037109375,2945.590576171875,13984770325,0.0,0.0,ETH-USD
2025-12-25,2945.423095703125,2968.705078125,2891.10888671875,2903.57958984375,11828871179,0.0,0.0,ETH-USD
2025-12-26,2903.625,2991.219970703125,2894.15380859375,2925.74560546875,18562196049,0.0,0.0,ETH-USD
2025-12-27,2925.7451171875,2957.300537109375,2917.271240234375,2947.998291015625,7378783299,0.0,0.0,ETH-USD
2025-12-28,2947.898193359375,2957.138671875,2925.745361328125,2948.568115234375,9227601389,0.0,0.0,ETH-USD
2025-12-29,2948.55908203125,3051.94189453125,2908.748046875,2934.538330078125,25957694515,0.0,0.0,ETH-USD
2025-12-30,2934.416259765625,3002.8046875,2916.330078125,2971.416748046875,18816704381,0.0,0.0,ETH-USD
2025-12-31,2971.407470703125,3021.849609375,2959.143798828125,2967.03759765625,16451891101,0.0,0.0,ETH-USD
2026-01-01,2966.997314453125,3006.01025390625,2966.84521484375,3000.394287109375,10268796662,0.0,0.0,ETH-USD
2026-01-02,3000.453125,3146.984375,2989.9013671875,3124.422607421875,25242778003,0.0,0.0,ETH-USD
2026-01-03,3124.310302734375,3135.025634765625,3077.4658203125,3125.91748046875,11460707919,0.0,0.0,ETH-USD
2026-01-04,3125.960205078125,3160.551025390625,3119.427490234375,3140.71044921875,13890479323,0.0,0.0,ETH-USD
2026-01-05,3141.486328125,3261.245849609375,3134.0927734375,3226.13037109375,27211995956,0.0,0.0,ETH-USD
2026-01-06,3226.116455078125,3303.5634765625,3184.0146484375,3295.94677734375,27853981622,0.0,0.0,ETH-USD
2026-01-07,3295.91259765625,3296.394287109375,3126.552001953125,3166.843994140625,22665982583,0.0,0.0,ETH-USD
2026-01-08,3166.924072265625,3179.866455078125,3052.509765625,3104.382568359375,22760237888,0.0,0.0,ETH-USD
2026-01-09,3104.334716796875,3140.709228515625,3058.096923828125,3083.047119140625,18879517395,0.0,0.0,ETH-USD
2026-01-10,3083.16650390625,3099.16748046875,3075.135498046875,3082.39599609375,6960662969,0.0,0.0,ETH-USD
2026-01-11,3082.407470703125,3141.9580078125,3080.747802734375,3118.88525390625,10497219711,0.0,0.0,ETH-USD
2026-01-12,3118.828857421875,3166.219970703125,3068.07275390625,3092.3251953125,21152711365,0.0,0.0,ETH-USD
2026-01-13,3092.008544921875,3352.580078125,3088.512939453125,3322.095458984375,27237310134,0.0,0.0,ETH-USD
2026-01-14,3322.192138671875,3397.897705078125,3280.378662109375,3354.72265625,33926411912,0.0,0.0,ETH-USD
2026-01-15,3354.765869140625,3382.44873046875,3276.820068359375,3317.101318359375,27598686935,0.0,0.0,ETH-USD
2026-01-16,3317.341796875,3325.25048828125,3251.814453125,3295.482177734375,22732887284,0.0,0.0,ETH-USD
2026-01-17,3295.482666015625,3328.283447265625,3282.661865234375,3308.8642578125,11206492253,0.0,0.0,ETH-USD
2026-01-18,3308.90576171875,3367.167724609375,3278.4267578125,3281.15771484375,13557863288,0.0,0.0,ETH-USD
2026-01-19,3282.19921875,3282.65478515625,3166.0166015625,3186.62109375,27956112545,0.0,0.0,ETH-USD
2026-01-20,3186.62109375,3197.391845703125,2925.54345703125,2935.605712890625,32985301273,0.0,0.0,ETH-USD
2026-01-21,2935.882080078125,3064.390625,2867.264404296875,2978.901123046875,35797876195,0.0,0.0,ETH-USD
2026-01-22,2979.307861328125,3034.338134765625,2905.562744140625,2949.63330078125,21993593333,0.0,0.0,ETH-USD
2026-01-23,2949.44580078125,3013.9541015625,2892.52099609375,2953.25634765625,22417700837,0.0,0.0,ETH-USD
2026-01-24,2953.23828125,2965.46875,2942.444580078125,2948.74072265625,8198666763,0.0,0.0,ETH-USD
2026-01-25,2948.534423828125,2955.016845703125,2785.896728515625,2815.90234375,22414089670,0.0,0.0,ETH-USD
2026-01-26,2815.768798828125,2945.99755859375,2811.074951171875,2926.45703125,29668620102,0.0,0.0,ETH-USD
2026-01-27,2926.201171875,3031.03857421875,2898.3115234375,3022.2109375,27976005223,0.0,0.0,ETH-USD
2026-01-28,3022.237548828125,3040.718505859375,2981.589599609375,3006.607421875,21751566455,0.0,0.0,ETH-USD
2026-01-29,3006.26171875,3008.03759765625,2751.64501953125,2818.232666015625,37487198041,0.0,0.0,ETH-USD
2026-01-30,2818.135498046875,2823.91455078125,2633.8388671875,2702.375244140625,41877689970,0.0,0.0,ETH-USD
2026-01-31,2702.301513671875,2709.53369140625,2248.69873046875,2445.091796875,47569532203,0.0,0.0,ETH-USD
2026-02-01,2445.0693359375,2472.646240234375,2224.117919921875,2267.96484375,40358630560,0.0,0.0,ETH-USD
2026-02-02,2267.5625,2393.0634765625,2158.937255859375,2344.356689453125,48844346396,0.0,0.0,ETH-USD
2026-02-03,2344.44580078125,2357.2060546875,2109.05517578125,2227.558837890625,47906083919,0.0,0.0,ETH-USD
2026-02-04,2227.967041015625,2291.13134765625,2074.102783203125,2143.504150390625,45219604814,0.0,0.0,ETH-USD
2026-02-05,2143.618896484375,2167.139892578125,1818.664306640625,1821.68310546875,60381662655,0.0,0.0,ETH-USD
2026-02-06,1821.12939453125,2090.328125,1748.627685546875,2063.386962890625,64998454203,0.0,0.0,ETH-USD
2026-02-07,2062.044189453125,2114.558837890625,1999.19921875,2031.802734375,43519799296,0.0,0.0,ETH-USD
