season_code,league_name,division,Date,HomeTeam,AwayTeam,home_score,away_score,result,home_score_ht,away_score_ht,result_ht,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red
1617,Ligue 1,F1,2016-12-11,Paris SG,Nice,2,2,D,0,2,A,22,5,10,3,9,0,17,10,2,3,0,0
1617,Ligue 1,F1,2016-12-11,St Etienne,Guingamp,1,0,H,1,0,H,7,18,2,8,4,4,13,14,0,2,0,0
1617,Ligue 1,F1,2016-12-16,Angers,Nantes,0,2,A,0,1,A,15,11,2,4,6,1,12,9,1,3,0,0
1617,Ligue 1,F1,2016-12-17,Guingamp,Paris SG,2,1,H,0,0,D,11,15,2,7,4,7,18,16,0,0,0,0
1617,Ligue 1,F1,2016-12-17,Lorient,St Etienne,2,1,H,1,0,H,21,9,9,3,6,3,12,13,4,2,0,1
1617,Ligue 1,F1,2016-12-17,Montpellier,Bordeaux,4,0,H,2,0,H,22,12,8,3,5,1,11,12,2,2,0,1
1617,Ligue 1,F1,2016-12-17,Rennes,Bastia,1,2,A,0,0,D,12,14,4,4,6,6,15,11,1,0,0,0
1617,Ligue 1,F1,2016-12-17,Toulouse,Nancy,1,1,D,0,1,A,5,10,2,3,3,3,17,12,1,3,0,0
1617,Ligue 1,F1,2016-12-18,Caen,Metz,3,0,H,1,0,H,17,16,8,3,4,6,8,13,2,3,0,1
1617,Ligue 1,F1,2016-12-18,Marseille,Lille,2,0,H,0,0,D,13,13,5,4,6,2,13,15,0,0,0,0
1617,Ligue 1,F1,2016-12-18,Monaco,Lyon,1,3,A,0,1,A,13,17,4,10,6,9,20,20,4,2,1,0
1617,Ligue 1,F1,2016-12-18,Nice,Dijon,2,1,H,1,1,D,8,11,3,4,3,3,13,21,1,3,0,1
1617,Ligue 1,F1,2016-12-21,Bastia,Marseille,1,2,A,0,1,A,17,7,4,3,6,4,7,13,1,3,0,0
1617,Ligue 1,F1,2016-12-21,Bordeaux,Nice,0,0,D,0,0,D,15,15,3,4,8,0,16,8,2,2,0,2
1617,Ligue 1,F1,2016-12-21,Dijon,Toulouse,2,0,H,0,0,D,11,6,6,3,3,5,12,19,2,4,0,0
1617,Ligue 1,F1,2016-12-21,Lille,Rennes,1,1,D,0,1,A,18,10,6,4,2,1,11,20,1,1,0,0
1617,Ligue 1,F1,2016-12-21,Lyon,Angers,2,0,H,1,0,H,14,11,3,3,7,3,12,15,0,2,0,0
1617,Ligue 1,F1,2016-12-21,Metz,Guingamp,2,2,D,1,0,H,9,9,4,4,5,2,16,11,2,1,0,0
1617,Ligue 1,F1,2016-12-21,Monaco,Caen,2,1,H,0,0,D,21,16,6,5,5,2,15,12,3,0,0,1
1617,Ligue 1,F1,2016-12-21,Nantes,Montpellier,1,0,H,1,0,H,5,18,2,4,2,8,15,12,2,0,0,0
1617,Ligue 1,F1,2016-12-21,Paris SG,Lorient,5,0,H,2,0,H,19,4,7,1,13,3,8,10,0,1,0,0
1617,Ligue 1,F1,2016-12-21,St Etienne,Nancy,0,0,D,0,0,D,18,5,3,3,12,2,15,11,1,1,0,1
1617,Ligue 1,F1,2017-01-13,Lille,St Etienne,1,1,D,0,1,A,22,8,8,3,6,4,14,14,0,3,0,0
1617,Ligue 1,F1,2017-01-14,Angers,Bordeaux,1,1,D,1,1,D,7,9,3,0,2,3,15,16,4,3,0,0
1617,Ligue 1,F1,2017-01-14,Lorient,Guingamp,3,1,H,0,1,A,16,12,5,7,3,6,12,14,2,3,0,0
1617,Ligue 1,F1,2017-01-14,Montpellier,Dijon,1,1,D,0,1,A,24,6,3,2,14,5,8,12,0,0,0,0
1617,Ligue 1,F1,2017-01-14,Nancy,Bastia,1,0,H,0,0,D,15,11,4,2,6,5,10,13,2,0,0,1
